cur_sna_20m_0134,8.13335323,-66.100357,10.7061968,,AAGA,FW,,TRUE,AAGA
cur_sna_20m_0135,10.5915709,-65.690399,11.1062832,,AAGA,FW,,TRUE,AAGA
cur_sna_20m_0136,9.95006561,-63.987564,9.82858753,,AAGA,FW,,FALSE,AAGA
cur_sna_20m_0137,8.27304173,-58.550335,7.04695988,,AAGA,FW,,FALSE,SINT
cur_sna_20m_0138,13.288929,-53.632381,8.90694523,,ALAM,FW,,FALSE,AGRA
cur_sna_20m_0139,4.61836004,-50.545563,4.86887932,,AAGA,FW,,TRUE,AAGA
cur_sna_20m_0140,12.3095894,-45.584335,8.35198689,,AAGA,FW,,TRUE,ALAM
cur_sna_20m_0141,6.62790346,-45.867512,6.14050198,,AAGA,FW,,FALSE,AAGA
cur_sna_20m_0142,-1.4930205,-40.950317,-0.3489494,,ALAM,FW,,TRUE,AAGA
cur_sna_20m_0143,5.39651728,-38.001671,2.31120944,,AAGA,FW,,TRUE,ALAM
cur_sna_20m_0144,3.7938931,-38.061646,1.12841046,,ALAM,FW,,TRUE,AAGA
cur_sna_20m_0145,0.5089311,-38.150467,1.42600811,,AAGA,FW,,TRUE,ALAM
cur_sna_20m_0146,-6.7571588,-34.477566,-0.9403488,,AAGA,FW,,TRUE,ALAM
cur_sna_20m_0147,-5.3944349,-23.997118,-3.059973,,AAGA,FW,,FALSE,AAGA
cur_sna_20m_0148,-10.427024,-23.399645,-4.888073,,AAGA,FW,,TRUE,AAGA
cur_sna_20m_0149,-7.2324042,-20.440371,-6.6303859,,ALAM,FW,,TRUE,AAGA
cur_sna_20m_0150,-8.4804926,-19.722948,-8.7697487,,ALAM,FW,,TRUE,ALAM
cur_sna_20m_0151,-5.3101664,-10.98633,-9.2434759,,AAGA,FW,,TRUE,AAGA
cur_sna_20m_0152,-0.9745021,-7.913938,-7.075264,,AAGA,FW,,TRUE,AAGA
cur_sna_20m_0153,1.75777841,-4.9819937,-9.9107924,,ALAM,FW,,FALSE,AAGA
cur_sna_20m_0154,-10.432339,-8.7285357,-12.257411,,ALAM,FW,,TRUE,ALAM
cur_sna_20m_0155,-10.610745,-3.0149641,-13.234473,,AAGA,FW,,TRUE,AAGA
cur_sna_20m_0156,-10.795984,-5.7768526,-13.512332,,ALAM,FW,,TRUE,ALAM
cur_sna_20m_0157,0.52335548,-0.0906116,-11.929446,,ALAM,FW,,FALSE,ALAM
cur_sna_20m_0158,1.04566979,-0.9689803,-11.163436,,AAGA,FW,,TRUE,AAGA
cur_sna_20m_0159,-5.5075521,2.68418288,-14.750551,,ALAM,FW,,FALSE,ALAM
cur_sna_20m_0160,-8.5101004,5.55767059,-17.140442,,ALAM,FW,,TRUE,ALAM
cur_sna_20m_0161,-6.6189885,12.8040218,-14.800656,,AAGA,FW,,TRUE,AAGA
cur_sna_20m_0162,-5.8203335,16.4860344,-16.889914,,ALAM,FW,,TRUE,ALAM
